課別,生字,注音,部首,筆畫,詞語
113上 第一課：拍拍手,拍,ㄆㄞ,手,8,拍手
113上 第一課：拍拍手,手,ㄕㄡˇ,手,4,小手
113上 第一課：拍拍手,左,ㄗㄨㄛˇ,工,5,左邊
113上 第一課：拍拍手,右,ㄧㄡˋ,口,5,右邊
113上 第一課：拍拍手,你,ㄋㄧˇ,人,7,你好
113上 第一課：拍拍手,他,ㄊㄚ,人,5,他們
113上 第一課：拍拍手,也,ㄧㄝˇ,乙,3,也是
113上 第一課：拍拍手,上,ㄕㄤˋ,一,3,上面
113上 第一課：拍拍手,下,ㄒㄧㄚˋ,一,3,下面
113上 第二課：這是誰的?,這,ㄓㄜˋ,辵,11,這個
113上 第二課：這是誰的?,是,ㄕˋ,日,9,是的
113上 第二課：這是誰的?,誰,ㄕㄟˊ,言,15,是誰
113上 第二課：這是誰的?,的,˙ㄉㄜ,白,8,我的
113上 第二課：這是誰的?,我,ㄨㄛˇ,戈,7,我們
113上 第二課：這是誰的?,分,ㄈㄣ,刀,4,分開
113上 第二課：這是誰的?,好,ㄏㄠˇ,女,6,好人
113上 第二課：這是誰的?,了,˙ㄌㄜ,亅,2,好了
113上 第二課：這是誰的?,啊,ㄚ,口,11,好啊
113上 第二課：這是誰的?,多,ㄉㄨㄛ,夕,6,很多
113上 第二課：這是誰的?,個,ㄍㄜˋ,人,10,一個
113上 第三課：秋千,秋,ㄑㄧㄡ,禾,9,秋天
113上 第三課：秋千,千,ㄑㄧㄢ,十,3,一千
113上 第三課：秋千,和,ㄏㄢˋ,口,8,和好
113上 第三課：秋千,玩,ㄨㄢˊ,玉,8,玩具
113上 第三課：秋千,陪,ㄆㄟˊ,阜,11,陪伴
113上 第三課：秋千,高,ㄍㄠ,高,10,高山
113上 第三課：秋千,山,ㄕㄢ,山,3,大山
113上 第三課：秋千,到,ㄉㄠˋ,刀,8,來到
113上 第三課：秋千,大,ㄉㄚˋ,大,3,大人
113上 第三課：秋千,海,ㄏㄞˇ,水,10,大海
113上 第三課：秋千,朋,ㄆㄥˊ,月,8,朋友
113上 第三課：秋千,友,ㄧㄡˇ,又,4,友好
113上 第三課：秋千,們,˙ㄇㄣ,人,10,我們
113上 第三課：秋千,起,ㄑㄧˇ,走,10,一起
113上 第四課：大個子，小個子,子,˙ㄗ,子,3,孩子
113上 第四課：大個子，小個子,小,ㄒㄧㄠˇ,小,3,小孩
113上 第四課：大個子，小個子,課,ㄎㄜˋ,言,15,課本
113上 第四課：大個子，小個子,兩,ㄌㄧㄤˇ,入,8,兩個
113上 第四課：大個子，小個子,人,ㄖㄣˊ,人,2,大人
113上 第四課：大個子，小個子,拉,ㄌㄚ,手,8,拉手
113上 第四課：大個子，小個子,看,ㄎㄢˋ,目,9,看見
113上 第四課：大個子，小個子,找,ㄓㄠˇ,手,7,尋找
113上 第四課：大個子，小個子,隻,ㄓ,隹,10,一隻
113上 第四課：大個子，小個子,青,ㄑㄧㄥ,青,8,青草
113上 第四課：大個子，小個子,蛙,ㄨㄚ,虫,12,青蛙
113上 第四課：大個子，小個子,開,ㄎㄞ,門,12,開門
113上 第四課：大個子，小個子,心,ㄒㄧㄣ,心,4,心情
113上 第五課：比一比,比,ㄅㄧˇ,比,4,比較
113上 第五課：比一比,門,ㄇㄣˊ,門,8,門口
113上 第五課：比一比,裡,ㄌㄧˇ,衣,12,裡面
113上 第五課：比一比,外,ㄨㄞˋ,夕,5,外面
113上 第五課：比一比,有,ㄧㄡˇ,月,6,沒有
113上 第五課：比一比,什,ㄕㄣˊ,人,4,什麼
113上 第五課：比一比,麼,˙ㄇㄜ,麻,14,什麼
113上 第五課：比一比,不,ㄅㄨˋ,一,4,不用
113上 第五課：比一比,同,ㄊㄨㄥˊ,口,6,同學
113上 第五課：比一比,早,ㄗㄠˇ,日,6,早安
113上 第五課：比一比,晚,ㄨㄢˇ,日,11,晚上
113上 第五課：比一比,王,ㄨㄤˊ,玉,4,國王
113上 第五課：比一比,主,ㄓㄨˇ,丶,5,主人
113上 第五課：比一比,又,ㄧㄡˋ,又,2,又是
113上 第六課：小路,路,ㄌㄨˋ,足,13,馬路
113上 第六課：小路,長,ㄔㄤˊ,長,8,長度
113上 第六課：小路,白,ㄅㄞˊ,白,5,白色
113上 第六課：小路,花,ㄏㄨㄚ,艸,8,花朵
113上 第六課：小路,紅,ㄏㄨㄥˊ,糸,9,紅色
113上 第六課：小路,走,ㄗㄡˇ,走,7,走路
